F3,Fz,F4,Fc5,Fc1,Fc2,Fc6,T3,C3,C1,Cz,C2,C4,T4,Cp5,Cp1,Cp2,Cp6,P3,Pz,P4
-0.1618756,0.6713269,-0.0323489,0.1267910,-0.7929309,0.5079052,0.1213078,-1.6830274,-0.4708890,-0.6070690,0.0740877,0.0934078,0.1271733,0.0589638,-0.5785917,0.0604419,-0.1034007,0.2262835,-0.3272495,0.3101319,-0.3488371
-0.2604718,0.5747625,0.1471084,0.0264767,-0.6444109,0.3448124,-0.1674680,-1.6840518,-0.5821844,-1.2671072,0.1160949,-0.0830454,-0.0251755,0.0560424,-0.7125692,0.4450889,0.0255675,0.2048398,-0.1394307,0.6269974,-0.2669643
-0.4298593,0.4721183,-0.1820112,-0.1800439,-0.4375424,0.1419080,-0.2934372,-1.8456641,-0.5707982,-1.1709946,0.3673157,0.0995871,0.0573268,-0.0410949,-0.6015221,0.4689341,0.0119731,0.1756384,0.1645182,0.6658217,-0.3314009
-0.4492488,0.3590941,-0.4517933,-0.0403088,-0.9523205,-0.0039437,-0.0628013,-1.9402089,-0.4540744,-0.9235797,0.0560807,0.3964397,-0.0383209,-0.0551221,-0.6726899,0.2350893,0.1774306,0.2934957,-0.0721052,0.4196787,-0.1806845
-0.3360894,0.4388213,-0.2931242,0.1723282,-0.0699902,-0.3185326,0.1194487,-1.6841222,0.0443408,-0.3308083,0.0406248,0.2118570,-0.0372993,-0.0002167,-0.0711870,0.4567718,0.4593692,0.5649577,0.3019851,0.7157100,0.0005374
-0.1819724,0.6424531,-0.1537596,0.2877456,-0.3742467,0.0192563,0.2760856,-1.4658718,0.4932955,-0.1977146,0.4537320,-0.0775399,0.1910336,0.1407825,-0.0066357,0.8952888,0.7430265,0.6283602,0.5059733,0.9360514,0.1875459
-0.1441932,0.5553795,0.0230883,0.5180435,-0.2834919,0.2032550,0.4072427,-1.3065133,0.9396510,0.2361193,0.6570559,0.3154680,0.2460558,0.2828659,0.2432603,0.9463068,0.6535501,0.6547705,0.6935137,1.0590345,0.1123765
-0.0977623,0.8190011,0.4179627,0.6450290,-0.1249509,0.2583007,0.3561893,-1.3345838,0.9075686,0.3971060,0.6575961,0.3761035,0.4153921,0.3182101,0.3572080,0.9184278,0.8978592,0.6556113,0.7354220,0.9694021,0.2435635
-0.0037647,0.8359003,0.2685054,0.6310939,0.1498803,0.3858057,0.1388757,-1.3203343,0.5189769,-0.0394496,0.7666737,0.1151719,0.6188954,0.3788959,0.5308945,0.7644082,0.9899280,0.7832067,0.6053850,0.9384304,0.2085741
-0.0626827,0.7908540,0.1655934,0.3300682,0.1895273,0.3321702,0.0076610,-1.3117776,0.5415124,0.1591313,0.6921243,0.4642508,0.2915173,0.3966199,0.0998296,0.6554510,0.7128388,0.4913747,0.3276165,0.8565291,-0.0649605
-0.1751935,0.6447768,0.0830347,0.3051533,-0.5636645,0.1863250,0.1878615,-1.3796327,0.7351930,0.2876883,0.6422852,0.8656061,0.3156258,0.2428149,-0.1023283,0.7429906,0.3779052,0.4129574,0.2685321,0.7872650,-0.0844192
-0.1705445,0.6289151,-0.1574119,0.2810124,-0.1941946,-0.4413172,0.1742280,-1.4421837,0.0002738,-0.7390258,0.5215937,0.3573984,0.2796362,0.2416334,-0.1592786,0.3252589,0.3016241,0.3096699,0.1470584,0.4827755,-0.1592011
-0.2049507,0.5601196,-0.1660049,0.2941442,-0.6020867,-0.0093796,0.0320115,-1.5986618,-0.3295551,-0.3269229,0.4121273,0.0425318,0.0573222,0.2332830,-0.1840869,0.2167099,0.1821292,0.2355069,0.2407512,0.2437397,-0.3916320
-0.1286821,0.6019058,-0.2840934,0.2943419,-0.6882834,0.4129003,0.0302711,-1.7208929,-0.2091822,-0.5581386,0.2759909,0.3079767,0.0493862,0.0931012,-0.2348638,0.1497755,-0.0906476,0.2940618,0.1116467,0.3935549,-0.3279591
-0.1069964,0.9176005,0.1187779,0.3956765,-0.2338005,0.6669174,0.2402834,-1.6025975,0.0154587,-0.5915853,0.2627599,0.1952104,0.0513961,0.1676740,-0.0603461,0.3075211,0.1202503,0.3608972,0.1541611,0.5188197,-0.1641639
0.0083384,0.9335699,0.5877947,0.3737370,-0.2190277,1.0872718,0.5526649,-1.4021000,0.3934619,-0.2881247,0.3260134,0.1637627,0.4143803,0.5118730,0.1489176,0.7008528,0.2954667,0.7116531,0.3809739,0.4698238,-0.0366819
0.0097829,0.8660682,0.8324736,0.4521701,-0.1549702,0.6019025,0.6182505,-1.3525536,0.5832567,0.1098957,0.1778449,0.5417264,0.6366645,0.5882877,0.1940410,0.9871681,0.5913491,0.6648039,0.6328366,0.5945092,0.0867252
